# Mode	Eigenvalue	Frequency_THz
1	-2.1429987819791547e-16	2.329866805255463e-8im
2	-7.013147491417997e-17	1.3328357036168456e-8im
3	-5.0836090078323256e-17	1.1347657049215283e-8im
4	-7.881994392121243e-18	4.468257494672773e-9im
5	3.364804622452075e-18	2.919443385261437e-9
6	1.723944931478615e-16	2.089689815809903e-8
7	0.01830838780392738	0.21535015228215654
8	0.030757011590923145	0.2791207991520147
9	0.0368040004080118	0.30532871161264497
10	0.0383881274880406	0.3118305034888896
11	0.04162845460310247	0.32472466394798466
12	0.04705158834460624	0.345229004610527
13	0.0522510133479052	0.36380401732082635
14	0.06059891959403749	0.39178930124610883
15	0.06306598841895181	0.39968489452287226
16	0.06576583863748514	0.4081504813265488
17	0.07130555709993959	0.4249930425353721
18	0.07652694742589529	0.44027834651519626
19	0.08120554222830102	0.45353725480198065
20	0.08362451595062828	0.460242733255053
21	0.08542902835077808	0.465181960981585
22	0.0980668550671043	0.4984036976917996
23	0.10686701089647345	0.5202857878150042
24	0.11645017813217154	0.543113015121856
25	0.12418288133767252	0.5608555190420512
26	0.13028632641292492	0.5744729064353564
27	0.14057062017234537	0.5967156279611234
28	0.14500131792829174	0.6060467219462248
29	0.14698305681123422	0.6101741000859868
30	0.15344937100581035	0.6234515198644934
31	0.15740873441269487	0.6314435701598403
32	0.16851179525645002	0.6533340370549191
33	0.17819475382116598	0.6718426784273033
34	0.18464145598944476	0.6838876164392852
35	0.2218101397850551	0.7495676406212572
36	0.23665021741661318	0.7742364003673877
37	0.24651038802234543	0.7902013082624487
38	0.29187771957110403	0.8598458588024734
39	0.31013393539929335	0.8863286274454285
40	0.35290809144197477	0.9454769372414132
41	0.4217894614522853	1.0336368740638375
42	0.4848705143353828	1.108237953269824
43	0.5039989896597783	1.1298868771310506
44	0.5355801777719379	1.1647490884948082
45	0.556684363775059	1.187475459455507
46	0.6058591975199167	1.238813656634127
47	0.6371368544154616	1.2703883289553572
48	0.6958767792324542	1.3276582670760553
49	0.728077618903518	1.3580287750660198
50	0.8041535106634219	1.4272156946193886
51	0.8815130794565353	1.4942886989936381
52	0.8858391739520436	1.4979508808084208
53	1.0069503229420786	1.5970707453396005
54	1.0134570499950823	1.6022224245689114
55	1.0966960225024112	1.6667223759086902
56	1.2070550469909496	1.748572604475183
57	1.450590713581112	1.916869636486877
58	1.5693197270338408	1.9937736350403974
59	1.6049776394890976	2.0162975611793885
60	1.7601732348417367	2.111532829672314
61	1.7814680264989353	2.124267221468551
62	1.865219938081636	2.1736276816938367
63	1.9386805223530605	2.216017854717328
64	1.964764279210935	2.2308756263888383
65	2.013094318101918	2.258146912648945
66	2.1010466282840103	2.3069489121946636
67	2.2101039964839386	2.3660639941356156
68	2.293544797653709	2.4103146771495783
69	2.7374069385002016	2.633236180137652
