# mode	eigenvalue	frequency_thz
1	-639.4155867949216	40.24498233190387im
2	-514.925516953869	36.11539245371649im
3	-1.988007230935068	2.244032340439172im
4	-1.0983070531377734	1.667946122219658im
5	-0.36987978199821975	0.9679444370724567im
6	-0.09839154695003943	0.4992281041974643im
7	-7.48724545755199e-11	1.3771497487946308e-5im
8	3.566801882736236e-11	9.50516423715871e-6
9	1.1222091757539573e-10	1.6859979390629214e-5
10	2.54316678210364	2.5380931260084982
11	7.125731216357849	4.248492442643731
12	12.592120262920389	5.647673259951095
13	16.922783882728368	6.547206454118535
14	19.17434153907584	6.969158810381972
15	20.609328957806838	7.225236336620624
16	24.79642438514486	7.925280862008673
17	30.550429300315614	8.796882485516162
18	33.93427253065204	9.271273725917494
19	45.55294350532415	10.741831961945547
20	70.45378086586811	13.358948753433543
21	80.46148733346479	14.276250503079346
22	86.46957618095325	14.799661998448784
23	106.94092043840294	16.458569684486964
24	119.41651105981168	17.392111898213898
25	143.0039893438112	19.032428556872617
26	206.81890969633264	22.888390472733022
27	225.37489472253526	23.893121972884742
28	244.40817277419148	24.881582227573414
29	296.9544256270975	27.426161735998427
30	341.18307655664603	29.39773510298032
31	358.17698416275493	30.12097110044535
32	388.4820273189365	31.369355605962056
33	391.8830732916816	31.506371121184262
34	415.49803229353904	32.44177570956624
35	430.57486984708896	33.025125084785415
36	457.7317793696244	34.050670218246424
37	461.85068152058955	34.203529691341046
38	489.7183131519131	35.220320539792105
39	570.8697955804572	38.02670226757114
40	624.2141242137837	39.76371270815337
41	673.634517678861	41.30782210948201
42	699.2037475894818	42.0844838798716
43	705.0004572947192	42.25857333907983
44	715.7212876438288	42.578670730528735
45	718.8650485621534	42.67208034083722
46	723.851250455751	42.81981594498866
47	737.5303038590833	43.2225182586923
48	813.911960158652	45.40554019401942
49	824.0727591655196	45.6880803369194
50	826.3311225938579	45.75064137546186
51	836.731433984503	46.0376528809186
52	898.8473637972048	47.71589851537965
53	915.1810373852664	48.14748850847319
54	978.2350246542254	49.778491995190535
55	1031.9639824501432	51.127246213306556
56	1180.7673949594514	54.68929285173544
57	2920.317488283398	86.00727071395562
58	2921.0186853069195	86.01759569107942
59	3084.78040013853	88.39592772389629
60	3085.88267013412	88.41171936279392
61	3153.795923067773	89.37929514183281
62	3153.8818798550583	89.38051315100333
63	3157.2439732320477	89.42814105834604
64	3158.613338958241	89.4475324257638
65	3696.669915963716	96.76659696789767
66	3858.8032588284946	98.86588311476905
67	3959.993026273403	100.15377935655764
68	3967.7184235004647	100.25142482372817
69	9031.75876866251	151.25380070672526
